a52dec 0.7.4-10
aalib 1.4rc5-13
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.31-1
adapta-maia-theme 3.94.0.149-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.8-1
alsa-plugins 1.1.8-1
alsa-utils 1.1.8-1
amd-ucode 20190313.efd2c1c-1
aom 1.0.0-1
appstream-glib 0.7.15-1
archlinux-appstream-data 20190320-1
archlinux-keyring 20190123-2
argon2 20171227-3
aribb24 1.0.3-2
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.0-1
atk 2.32-1
atkmm 2.28.0-1
atril 1.22.0-1
attr 2.4.48-1
audit 2.8.4-3
avahi 0.7+18+g1b5f401-1
b43-fwcutter 019-2
bamf 0.5.4-1
bash 5.0.002-1
bashrc-manjaro 5.0.002-1
bc 1.07.1-3
blueman 2.0.8-2
bluez 5.50-6
bluez-libs 5.50-6
boost-libs 1.69.0-1
brasero 3.12.2-2
brisk-menu 0.5.0-3.1
brotli 1.0.7-1
btrfs-progs 4.20.2-1
bubblewrap 0.3.1-1
bzip2 1.0.6-8
ca-certificates 20181109-1
ca-certificates-mozilla 3.43-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
cairomm 1.12.2-3
caja 1.22.0-1
caja-extensions-common 1.22.0-1
caja-open-terminal 1.22.0-1
caja-wallpaper 1.22.0-1
cantarell-fonts 1:0.111-1
cdparanoia 10.2-7
cdrdao 1.2.4-1
cdrtools 3.02a09-1
celt 0.11.3-3
cheese 3.32.0+2+g5481726b-1
chromaprint 1.4.3-2
cifs-utils 6.8-2
ckbcomp 1.175-1
clucene 2.3.3.4-10
clutter 1.26.2-2
clutter-gst 3.0.27-1
clutter-gtk 1.8.4-1
cogl 1.22.2+22+ge023a361-1
colord 1.4.4-1
coreutils 8.31-1
cpupower 5.0-1
cracklib 2.9.6-3
crda 4.14-2
cronie 1.5.4-1
cryptsetup 2.1.0-1.1
cups 2.2.11-1
cups-filters 1.22.3-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.64.1-2
db 5.3.28-4
dbus 1.12.12-1
dbus-glib 0.110-1
dconf 0.32.0-1
dconf-editor 3.32.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.184-1
dhclient 4.4.1-4
dhcpcd 7.0.8-1
diffutils 3.7-1
ding-libs 0.6.1-2
djvulibre 3.5.27-4
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-3
dnssec-anchors 20181003-1
dosfstools 4.1-2
double-conversion 3.1.4-1
dvd+rw-tools 7.1-8
e2fsprogs 1.45.0-1
ecryptfs-utils 111-3
efibootmgr 16-1
efivar 35-1
empathy 3.25.90+34+g78f4d4fda-3
enchant 2.2.3-2
engrampa 1.22.0-1
eom 1.22.0-1
evolution-data-server 3.32.0-1
exempi 2.5.0-1
exfat-utils 1.3.0-1
expac 9-1
expat 2.2.6-1
f2fs-tools 1.12.0-2
faac 1.29.9.2-1
faad2 2.8.8-1
farstream 0.2.8-2
ffmpeg 1:4.1.2-2
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.36-1
filesystem 2018.9-1
findutils 4.6.0-4
firefox 66.0.3-0
flac 1.3.2-2
folks 0.11.4+58+gdd7cb009-1
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
freeglut 3.0.0-2
freetype2 2.10.0-1
fribidi 1.0.5-1
fuse-common 3.4.2-1
fuse2 2.9.9-1
fzf 0.17.5-1
gawk 4.2.1-2
gcab 1.2-1
gcc-libs 8.2.1+20181127-1
gcr 3.28.1-1
gd 2.2.5-1.1
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
geoclue 2.5.2-3
geocode-glib 3.26.1-1
gettext 0.19.8.1-3
ghostscript 9.26-2
giflib 5.1.8-1
git 2.21.0-1
glew 2.1.0-1
glib-networking 2.60.0.1-1
glib2 2.60.0-1
glibc 2.28-5
glibmm 2.60.0-1
glslang 7.10.2984-1
glu 9.0.0-5
gmime3 3.2.3-3
gmp 6.1.2-2
gnome-desktop 1:3.32.0-1
gnome-disk-utility 3.32.0-1
gnome-icon-theme 3.12.0-5
gnome-icon-theme-extras 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-5
gnome-keyring 1:3.31.91-1
gnome-online-accounts 3.32.0-1
gnupg 2.2.15-1
gnutls 3.6.7-1
gobject-introspection-runtime 1.60.0-1
gom 0.3.3-2
gparted 0.33.0-1
gpgme 1.13.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.6-1
graphite 1:1.3.13-1
grep 3.3-1
grilo 0.3.7-1
grilo-plugins 0.3.8-1
groff 1.22.3-8
grub 2.03.4-1
grub-theme-manjaro 18.0-1
gsettings-desktop-schemas 3.32.0-2
gsfonts 20180524-2
gsm 1.0.18-1
gssdp 1.2.0-1
gssproxy 0.8.0-1
gst-libav 1.14.4+2+gc324028-1
gst-plugins-bad 1.14.4+22+ge87fb02c1-1
gst-plugins-base 1.14.4+18+g3cc7cc757-1
gst-plugins-base-libs 1.14.4+18+g3cc7cc757-1
gst-plugins-good 1.14.4-2
gst-plugins-ugly 1.14.4-2
gstreamer 1.14.4-1
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-4
gtk-update-icon-cache 1:3.24.7+25+g17665f06e3-1
gtk2 2.24.32-1
gtk3 1:3.24.7+25+g17665f06e3-1
gtkmm 1:2.24.5-3
gtkmm3 3.24.1-1
gtksourceview3 3.24.10-1
gucharmap 12.0.1-1
gufw 18.10.0-1
gupnp 1.2.0-1
gupnp-igd 0.2.5+3+gedd78a6-1
gutenprint 5.3.1-2
gvfs 1.40.0-1
gvfs-afc 1.40.0-1
gvfs-gphoto2 1.40.0-1
gvfs-mtp 1.40.0-1
