repo id                                                       repo name
adobe-linux-x86_64                                            Adobe Systems Incorporated
code                                                          Visual Studio Code
copr:copr.fedorainfracloud.org:daniruiz:flat-remix            Copr repo for flat-remix owned by daniruiz
copr:copr.fedorainfracloud.org:dirkdavidis:papirus-icon-theme Copr repo for papirus-icon-theme owned by dirkdavidis
copr:copr.fedorainfracloud.org:fuhrmann:i3-gaps               Copr repo for i3-gaps owned by fuhrmann
copr:copr.fedorainfracloud.org:krouma:j4-dmenu-desktop        Copr repo for j4-dmenu-desktop owned by krouma
copr:copr.fedorainfracloud.org:kwizart:fedy                   Copr repo for fedy owned by kwizart
copr:copr.fedorainfracloud.org:kwizart:kernel-longterm-5.4    Copr repo for kernel-longterm-5.4 owned by kwizart
copr:copr.fedorainfracloud.org:tcg:themes                     Copr repo for themes owned by tcg
copr:copr.fedorainfracloud.org:user501254:Arc                 Copr repo for Arc owned by user501254
copr:copr.fedorainfracloud.org:user501254:Paper               Copr repo for Paper owned by user501254
dell-system-update_dependent                                  dell-system-update_dependent
dell-system-update_independent                                dell-system-update_independent
etcher-rpm                                                    etcher-rpm
fedora                                                        Fedora 33 - x86_64
fedora-cisco-openh264                                         Fedora 33 openh264 (From Cisco) - x86_64
fedora-modular                                                Fedora Modular 33 - x86_64
fedora-modular-source                                         Fedora Modular 33 - Source
fedora-source                                                 Fedora 33 - Source
google-chrome                                                 google-chrome
home_snwh_moka                                                Moka Project (Fedora_25)
phracek-PyCharm                                               Copr repo for PyCharm owned by phracek
rpmfusion-free                                                RPM Fusion for Fedora 33 - Free
rpmfusion-free-source                                         RPM Fusion for Fedora 33 - Free - Source
rpmfusion-free-tainted                                        RPM Fusion for Fedora 33 - Free tainted
rpmfusion-free-tainted-source                                 RPM Fusion for Fedora 33 - Free tainted - Source
rpmfusion-free-updates                                        RPM Fusion for Fedora 33 - Free - Updates
rpmfusion-free-updates-source                                 RPM Fusion for Fedora 33 - Free - Updates Source
rpmfusion-free-updates-testing-source                         RPM Fusion for Fedora 33 - Free - Test Updates Source
rpmfusion-nonfree                                             RPM Fusion for Fedora 33 - Nonfree
rpmfusion-nonfree-source                                      RPM Fusion for Fedora 33 - Nonfree - Source
rpmfusion-nonfree-steam                                       RPM Fusion for Fedora 33 - Nonfree - Steam
rpmfusion-nonfree-steam-source                                RPM Fusion for Fedora 33 - Nonfree - Steam Source
rpmfusion-nonfree-updates                                     RPM Fusion for Fedora 33 - Nonfree - Updates
rpmfusion-nonfree-updates-source                              RPM Fusion for Fedora 33 - Nonfree - Updates Source
sublime-text                                                  Sublime Text - x86_64 - Stable
updates                                                       Fedora 33 - x86_64 - Updates
updates-modular                                               Fedora Modular 33 - x86_64 - Updates
updates-modular-source                                        Fedora Modular 33 - Updates Source
updates-source                                                Fedora 33 - Updates Source

