accountsservice 0.6.55-1
acl 2.2.53-1
acpi 1.7-2
acpid 2.0.31-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.9-1
alsa-plugins 1.1.9-2
alsa-utils 1.1.9-1
amd-ucode 20190726.dff98c6-1
aom 1.0.0.errata1-1
appstream-glib 0.7.15-1
arandr 0.1.10-3
archlinux-appstream-data 20190726-1
archlinux-keyring 20190123-2
argon2 20190702-1
arp-scan 1.9.5-1
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
atkmm 2.28.0-1
attr 2.4.48-1
audit 2.8.5-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
b43-fwcutter 019-2
babl 0.1.66-1
bash 5.0.007-1
bash-completion 2.9-1
bashrc-manjaro 5.0.007-1
bc 1.07.1-3
bind-tools 9.14.4-1
binutils 2.32-2
bison 3.3.2-1
blas 3.8.0-2
blueman 2.1-1
bluez 5.50-6
bluez-libs 5.50-6
boost-libs 1.69.0-2
brotli 1.0.7-1
btrfs-progs 5.2-1
bzip2 1.0.8-2
ca-certificates 20181109-1
ca-certificates-mozilla 3.45-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
cairo-perl 1.106-8
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
catfish 1.4.8-1
catimg 2.6.0-1
cdparanoia 10.2-7
chromium 76.0.3809.100-0
cifs-utils 6.8-2
cinnamon-desktop 4.2.0-1
ckbcomp 1.175-1
clonezilla 3.27.16-2
clucene 2.3.3.4-10
clutter 1.26.2-2
clutter-gtk 1.8.4-1
cogl 1.22.4-1
colord 1.4.4-2
compton 7.0-1
conky 1.11.4-1.1
coreutils 8.31-1
cpupower 5.2-1
cracklib 2.9.7-1
crda 4.14-2
cronie 1.5.4-1
cryptsetup 2.1.0-1.1
cups 2.2.11-2
cups-filters 1.25.1-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-3
curl 7.65.3-1
dash 0.5.10.2-1
db 5.3.28-4
dbus 1.12.16-1.2
dbus-glib 0.110-1
dconf 0.32.0-3
dcraw 9.28.0-1
deadbeef 0.7.2-5
desktop-file-utils 0.24-1
device-mapper 2.02.185-1
dhclient 4.4.1-4
dhcpcd 7.2.2-1
diffutils 3.7-1
ding-libs 0.6.1-2
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-11
dnsmasq 2.80-4
dnssec-anchors 20190629-1
dosfstools 4.1-2
double-conversion 3.1.5-1
drbl 2.25.10-1
dunst 1.4.1-2
dunstify 1.4.1-2
e2fsprogs 1.45.3-1
ecryptfs-utils 111-3
efibootmgr 16-1
efivar 37-1
enchant 2.2.5-1
engrampa 1.22.1-1
exempi 2.5.0-1
exfat-utils 1.3.0-1
exiv2 0.27.1-1
exo-gtk3 0.12.7-1
expac 9-1
expat 2.2.7-1
f2fs-tools 1.12.0-2
fakeroot 1.23-1
feh 3.2.1-1
ffmpeg 1:4.1.4-1
ffmpegthumbnailer 2.2.0-2
fftw 3.3.8-1
file 5.37-2
filesystem 2018.9-1
findutils 4.6.0-4
firewalld 0.7.1-1
flac 1.3.2-2
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
foomatic-db-engine 4:4.0.13-1
freetype2 2.10.1-1
fribidi 1.0.5-1
fuse-common 3.6.2-1
fuse2 2.9.9-1
fuse3 3.6.2-1
fzf 0.18.0-1
garcon-gtk3 0.6.4-1
gawk 4.2.1-2
gc 7.6.8-1
gcab 1.2-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gcolor2 0.4-8
gconf 3.2.6+11+g07808097-4
gcr 3.28.1-1
gdbm 1.18.1-2
gdk-pixbuf2 2.38.1-1
gegl 0.4.16-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-3
ghostscript 9.27-1
giblib 1.2.4-7
giflib 5.2.1-1
gimp 2.10.12-1
git 2.22.0-1
gksu-polkit 0.0.3-1
glib-networking 2.60.3-1
glib-perl 1.329-2
glib2 2.60.6-1
glibc 2.29-3.1
glibmm 2.60.0-1
glslang 7.11.3214-2
glu 9.0.1-1
gmp 6.1.2-2
gnome-disk-utility 3.32.1-1
gnome-icon-theme 3.12.0-5
gnome-icon-theme-extras 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-5
gnome-keyring 1:3.31.91-1
gnome-themes-extra 3.28-1
gnupg 2.2.17-2
gnustep-base 1.26.0-2
gnutls 3.6.9-1
gobject-introspection-runtime 1.60.2-1
gparted 1.0.0-1
gpgme 1.13.1-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
graphene 1.8.6-1
graphite 1:1.3.13-1
grep 3.3-1
groff 1.22.4-1
grub 2.04-1
gsettings-desktop-schemas 3.32.0-2
gsfonts 20180524-2
gsimplecal 2.1-3
gsm 1.0.18-1
gspell 1.8.1-1
gssproxy 0.8.2-1
gst-plugins-base 1.16.0-3
gst-plugins-base-libs 1.16.0-3
gstreamer 1.16.0-2
gtk-engine-murrine 0.98.2-3
gtk-engines 2.21.0-4
gtk-update-icon-cache 1:3.24.10-1
gtk2 2.24.32-1
gtk2-perl 1.24992-4
gtk3-classic 3.24.8-1
gtkmm 1:2.24.5-3
gtkmm3 3.24.1-1
gtksourceview3 3.24.11-1
guile 2.2.6-1
gutenprint 5.3.1-2
gvfs 1.40.2-1
gvfs-mtp 1.40.2-1
gvfs-nfs 1.40.2-1
gvfs-smb 1.40.2-1
gzip 1.10-1
harfbuzz 2.5.3-1
harfbuzz-icu 2.5.3-1
haveged 1.9.4-3
hddtemp 0.3.beta15.53-1
hdparm 9.58-1
hicolor-icon-theme 0.17-1
hplip 1:3.19.6-1
hspell 1.4-1
htop 2.2.0-2
hunspell 1.7.0-2
hwids 20190316-1
hwinfo 21.60-2
hyphen 2.8.8-2
i3lock 2.12-1
iana-etc 20190702-1
icu 64.2-1
ijs 0.35-2
illyria-wallpaper 1.4-1
ilmbase 2.3.0-1
imagemagick 7.0.8.57-1
imlib2 1.5.1-1
inetutils 1.9.4-7
intel-tbb 2019.8-1
intel-ucode 20190618-1
inxi 3.0.35-1
iproute2 5.2.0-1
iptables 1:1.8.3-1
iputils 20180629.f6aac8d-4
ipw2100-fw 1.3-9
ipw2200-fw 3.1-7
iso-codes 4.3-1
iw 5.0.1-1
jack 0.125.0-7
jansson 2.12-1
jasper 2.0.16-1
jbig2dec 0.16-1
jfsutils 1.1.15-6
jgmenu 3.0-1
jp2a 1.0.7-2
js60 60.8.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kauth 5.60.0-1
kbd 2.0.4-2
kcoreaddons 5.60.0-1
keyutils 1.6-1
kickshaw 0.6.4-1
kitemmodels 5.60.0-1
kmod 26-2
krb5 1.17-1
kvantum-qt5 0.11.1-1
kvantum-theme-matcha 20190613-1
kwindowsystem 5.60.0-1
l-smash 2.14.5-1
lame 3.100-2
lapack 3.8.0-2
lbzip2 2.5-4
lcms2 2.9-2
ldb 1:1.5.5-1
ldns 1.7.0-4
lensfun 0.3.2-7
less 551-1
libabw 0.1.2-1
libaio 0.3.112-1
libarchive 3.4.0-2
libass 0.14.0-1
libassuan 2.5.3-1
libasyncns 0.8+3+g68cd5af-2
libatasmart 0.19-4
libatomic_ops 7.6.10-1
libavc1394 0.5.4-3
libblockdev 2.22-1
libbluray 1.1.2-1
libbsd 0.9.1-1
libburn 1.5.0-1
libbytesize 2.0-1
libcaca 0.99.beta19-2
libcanberra 0.30+2+gc0620e4-2
libcanberra-pulse 0.30+2+gc0620e4-2
libcap 2.27-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.1.0-1
libcdio-paranoia 10.2+2.0.0-2
libcdr 0.1.5-2
libcmis 0.5.2-2
libconfig 1.7.2-1
libcroco 0.6.13-1
libcups 2.2.11-2
libdaemon 0.14-4
libdatrie 0.2.12-1
libde265 1.0.3-1
libdmx 1.1.4-1
libdrm 2.4.99-1
libdvdnav 6.0.0-1
libdvdread 6.0.1-1
libe-book 0.1.3-5
libedit 20190324_3.1-1
libelf 0.176-1
libepoxy 1.5.3-1
libepubgen 0.1.1-1
libetonyek 0.1.9-1
libev 4.27-1
libevdev 1.7.0-1
libevent 2.1.10-1
libexif 0.6.21-3
libexttextcat 3.4.5-1
libffi 3.2.1-3
libfm 1.3.1-1
libfm-extra 1.3.1-1
libfm-gtk3 1.3.1-1
libfontenc 1.1.4-1
libfreehand 0.1.2-2
libgcrypt 1.8.4-1
libgee 0.20.1-2
libgee06 0.6.8-1
libgexiv2 0.12.0-2
libglade 2.6.4-6
libglvnd 1.1.1-1
libgnomekbd 3.26.1-1
libgpg-error 1.36-1
libgudev 232-1
libgusb 0.3.0-1
libheif 1.4.0-3
libibus 1.5.20-2
libical 3.0.4-3
libice 1.0.10-1
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.2.0-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+87+g92c5462-1
libinput 1.13.4-1
libisofs 1.5.0-1
libixion 0.14.1-2
libjpeg-turbo 2.0.2-1
libkeybinder3 0.3.2-2
libksba 1.3.5-1
liblangtag 0.6.2-2
libldap 2.4.47-3
liblouis 3.10.0-1
liblqr 0.4.2-2
libmad 0.15.1b-8
libmm-glib 1.10.4-1
libmng 2.0.3-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmpc 1.1.0-1
libmpdclient 2.16-1
libmspub 0.1.4-5
libmtp 1.1.16-1
libmwaw 0.3.15-1
libmypaint 1.3.0-6
libndp 1.7-1
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.21-1
libnfnetlink 1.0.1-3
libnfs 4.0.0-3
libnftnl 1.1.3-1
libnghttp2 1.36.0-1
libnl 3.4.0-1
libnm 1.18.2-1
libnm-glib 1.18.2-1
libnotify 0.7.8-1
libnsl 1.2.0-1
libnumbertext 1.0.5-1
libodfgen 0.1.7-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
liborcus 0.14.1-2
libpagemaker 0.0.4-1
libpaper 1.1.24-11
libpcap 1.9.0-1
libpciaccess 0.16-1
libpeas 1.22.0-3
libpgm 5.2.122-3
libpipeline 1.5.1-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.37-1
libproxy 0.4.15-10
libpsl 0.21.0-1
libpulse 12.2-2
libpwquality 1.4.0-2
libqxp 0.0.2-2
libraqm 0.7.0-1
libraw 0.19.3-1
libraw1394 2.1.2-2
libreoffice-fresh 6.2.5-1
librevenge 0.0.4-2
