0ad a23.1-10
0ad-data a23.1-1
a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-2
acl 2.2.53-3
acpi 1.7-3
acpid 2.0.32-1
adapta-maia-theme 3.94.0.149-2
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
afpfs-ng 0.8.1-13
aircrack-ng 1.6-2
aisleriot 3.22.11-1
allegro4 4.4.3.1-3
alsa-firmware 1.2.1-2
alsa-lib 1.2.2-1
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
alsa-utils 1.2.2-1
amd-ucode 20200519.8ba6fa6-1
android-file-transfer 3.9-1
android-studio 4.0.0.16-1
android-tools 30.0.0-2
aom 1.0.0.errata1+avif-1
apparmor 2.13.4-4
appimagelauncher 2.1.3-1
appstream-glib 0.7.17-1
apr 1.7.0-3
apr-util 1.6.1-7
archlinux-appstream-data 20200612-1.1
archlinux-keyring 20200603-1
argon2 20190702-3
aribb24 1.0.3-3
armagetronad 0.2.8.3.5-1
artwork-cinnamon-minimal 20190729-1
aspell 0.60.8-2
assaultcube 1.2.0.2-5
astromenace 1.4.1-2
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attica 5.70.0-1
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
babl 0.1.74-1
baobab 3.34.0-2
bash 5.0.017-1
bash-completion 2.10-2
bashrc-manjaro 5.0.017-1
bauh 0.9.4-1
bc 1.07.1-4
binutils 2.34-5
biosdisk-git 1.01.2.g2285469-1
bison 3.6.2-1
blackarch-keyring 20180925-2
blas 3.9.0-3
bleachbit 4.0.0-2
blinken 20.04.1-1
blobby2 1.0-3
blueman 2.1.3-1
bluez 5.54-2
bluez-libs 5.54-2
bomber 20.04.1-1
boost-libs 1.72.0-2
brasero 3.12.2+65+gb14df0a8-2
bridge-utils 1.6-4
brotli 1.0.7-3
btrfs-progs 5.6.1-3
