repo id                                                       repo name status
adobe-linux-x86_64                                            Adobe Sys enabled
code                                                          Visual St enabled
copr:copr.fedorainfracloud.org:bcotton:cherrytree             Copr repo enabled
copr:copr.fedorainfracloud.org:daniruiz:flat-remix            Copr repo enabled
copr:copr.fedorainfracloud.org:dirkdavidis:papirus-icon-theme Copr repo enabled
copr:copr.fedorainfracloud.org:kwizart:fedy                   Copr repo enabled
copr:copr.fedorainfracloud.org:phracek:PyCharm                Copr repo enabled
copr:copr.fedorainfracloud.org:tcg:themes                     Copr repo enabled
copr:copr.fedorainfracloud.org:user501254:Arc                 Copr repo enabled
copr:copr.fedorainfracloud.org:user501254:Paper               Copr repo enabled
docker-ce-nightly                                             Docker CE disabled
docker-ce-nightly-debuginfo                                   Docker CE disabled
docker-ce-nightly-source                                      Docker CE disabled
docker-ce-stable                                              Docker CE enabled
docker-ce-stable-debuginfo                                    Docker CE disabled
docker-ce-stable-source                                       Docker CE disabled
docker-ce-test                                                Docker CE disabled
docker-ce-test-debuginfo                                      Docker CE disabled
docker-ce-test-source                                         Docker CE disabled
etcher-rpm                                                    etcher-rp enabled
fedora                                                        Fedora 33 enabled
fedora-cisco-openh264                                         Fedora 33 enabled
fedora-cisco-openh264-debuginfo                               Fedora 33 disabled
fedora-debuginfo                                              Fedora 33 disabled
fedora-modular                                                Fedora Mo enabled
fedora-modular-debuginfo                                      Fedora Mo disabled
fedora-modular-source                                         Fedora Mo disabled
fedora-source                                                 Fedora 33 disabled
google-chrome                                                 google-ch enabled
home_snwh_moka                                                Moka Proj enabled
rpmfusion-free                                                RPM Fusio enabled
rpmfusion-free-debuginfo                                      RPM Fusio disabled
rpmfusion-free-source                                         RPM Fusio disabled
rpmfusion-free-tainted                                        RPM Fusio enabled
rpmfusion-free-tainted-debuginfo                              RPM Fusio disabled
rpmfusion-free-tainted-source                                 RPM Fusio disabled
rpmfusion-free-updates                                        RPM Fusio enabled
rpmfusion-free-updates-debuginfo                              RPM Fusio disabled
rpmfusion-free-updates-source                                 RPM Fusio disabled
rpmfusion-free-updates-testing                                RPM Fusio disabled
rpmfusion-free-updates-testing-debuginfo                      RPM Fusio disabled
rpmfusion-free-updates-testing-source                         RPM Fusio disabled
rpmfusion-nonfree                                             RPM Fusio enabled
rpmfusion-nonfree-debuginfo                                   RPM Fusio disabled
rpmfusion-nonfree-nvidia-driver                               RPM Fusio enabled
rpmfusion-nonfree-nvidia-driver-debuginfo                     RPM Fusio disabled
rpmfusion-nonfree-nvidia-driver-source                        RPM Fusio disabled
rpmfusion-nonfree-source                                      RPM Fusio disabled
rpmfusion-nonfree-steam                                       RPM Fusio enabled
rpmfusion-nonfree-steam-debuginfo                             RPM Fusio disabled
rpmfusion-nonfree-steam-source                                RPM Fusio disabled
rpmfusion-nonfree-updates                                     RPM Fusio enabled
rpmfusion-nonfree-updates-debuginfo                           RPM Fusio disabled
rpmfusion-nonfree-updates-source                              RPM Fusio disabled
rpmfusion-nonfree-updates-testing                             RPM Fusio disabled
rpmfusion-nonfree-updates-testing-debuginfo                   RPM Fusio disabled
rpmfusion-nonfree-updates-testing-source                      RPM Fusio disabled
updates                                                       Fedora 33 enabled
updates-debuginfo                                             Fedora 33 disabled
updates-modular                                               Fedora Mo enabled
updates-modular-debuginfo                                     Fedora Mo disabled
updates-modular-source                                        Fedora Mo disabled
updates-source                                                Fedora 33 disabled
updates-testing                                               Fedora 33 disabled
updates-testing-debuginfo                                     Fedora 33 disabled
updates-testing-modular                                       Fedora Mo disabled
updates-testing-modular-debuginfo                             Fedora Mo disabled
updates-testing-modular-source                                Fedora Mo disabled
updates-testing-source    
